date,close
2/1/2007,0.005094
3/1/2007,-0.026139
4/1/2007,0.048525
5/1/2007,0.052007
6/1/2007,-0.01607
7/1/2007,0.038006
8/1/2007,-0.063895
9/1/2007,0.066521
10/1/2007,0.002476
11/1/2007,-0.024042
12/1/2007,-0.010629
1/1/2008,-0.059492
2/1/2008,-0.035596
3/1/2008,0.013213
4/1/2008,0.020872
5/1/2008,-0.001434
6/1/2008,-0.042702
7/1/2008,-0.057398
8/1/2008,0.025434
9/1/2008,-0.0691
10/1/2008,-0.154181
11/1/2008,-0.08031
12/1/2008,0.058127
1/1/2009,-0.037496
2/1/2009,-0.164795
3/1/2009,0.042397
4/1/2009,0.064513
5/1/2009,0.056776
6/1/2009,0.038969
7/1/2009,-0.047834
8/1/2009,0.110972
9/1/2009,0.057594
10/1/2009,-0.007828
11/1/2009,0.07739
12/1/2009,-0.003478
1/1/2010,-0.022411
2/1/2010,0.01285
3/1/2010,0.050856
4/1/2010,0.015511
5/1/2010,-0.080055
6/1/2010,-0.035769
7/1/2010,0.078134
8/1/2010,-0.034476
9/1/2010,0.067414
10/1/2010,0.023775
11/1/2010,-0.002383
12/1/2010,0.039776
1/1/2011,0.031102
2/1/2011,0.014329
3/1/2011,-0.002139
4/1/2011,0.032418
5/1/2011,0.001199
6/1/2011,-0.002194
7/1/2011,0.002626
8/1/2011,-0.066956
9/1/2011,-0.036406
10/1/2011,0.025682
11/1/2011,0.001359
12/1/2011,0.045912
1/1/2012,0.052598
2/1/2012,0.017742
3/1/2012,0.02592
4/1/2012,-0.009181
5/1/2012,-0.053259
6/1/2012,0.034768
7/1/2012,-0.00014
8/1/2012,0.035016
9/1/2012,0.024247
10/1/2012,-0.018274
11/1/2012,-0.026969
12/1/2012,0.01186
1/1/2013,0.028023
2/1/2013,0.036521
3/1/2013,0.023492
4/1/2013,0.037377
5/1/2013,0.016852
6/1/2013,-0.000225
7/1/2013,0.025628
8/1/2013,-0.042492
9/1/2013,0.028118
10/1/2013,0.007576
11/1/2013,0.032679
12/1/2013,0.01838
1/1/2014,0.015902
2/1/2014,-0.014941
3/1/2014,0.014772
4/1/2014,0.007108
5/1/2014,0.010995
6/1/2014,0.006544
7/1/2014,-0.993017
8/1/2014,144.518301
9/1/2014,-0.003246
10/1/2014,0.020396
11/1/2014,0.025169
12/1/2014,-0.000286
1/1/2015,-0.03693
2/1/2015,0.056382
3/1/2015,-0.019666
4/1/2015,0.01475
5/1/2015,-0.00153
6/1/2015,-0.02172
7/1/2015,0.006379
8/1/2015,-0.067895
9/1/2015,-0.02575
10/1/2015,0.096948
11/1/2015,0.003193
12/1/2015,-0.016642
1/1/2016,-0.055019
2/1/2016,0.003049
3/1/2016,0.070753
4/1/2016,0.005004
5/1/2016,0.000765
6/1/2016,0.008028
7/1/2016,0.028009
8/1/2016,-0.001698
9/1/2016,-0.005038
10/1/2016,-0.009056
11/1/2016,0.054083
12/1/2016,0.033414
1/1/2017,0.005136
2/1/2017,0.047729
3/1/2017,-0.007159
4/1/2017,0.01342
5/1/2017,0.003257
6/1/2017,0.016227
7/1/2017,0.025363
8/1/2017,0.002604
9/1/2017,0.020822
10/1/2017,0.043387
11/1/2017,0.038294
12/1/2017,0.018408
1/1/2018,0.057858
2/1/2018,-0.042839
3/1/2018,-0.034663
4/1/2018,0.000062
5/1/2018,0.010458
6/1/2018,-0.005914
7/1/2018,0.047125
8/1/2018,0.021625
9/1/2018,0.019007
10/1/2018,-0.05074
11/1/2018,0.01683
12/1/2018,-0.086575
1/1/2019,0.071684
2/1/2019,0.036652
3/1/2019,0.00049
4/1/2019,0.025616
5/1/2019,-0.066856
6/1/2019,0.078106
7/1/2019,NaN
8/1/2019,NaN
9/1/2019,NaN
10/1/2019,0.006779
11/1/2019,NaN
12/1/2019,NaN
1/1/2020,NaN
2/1/2020,-0.010447
3/1/2020,-0.216146
4/1/2020,0.034804
